direction,entry,exit,pnl_pts,mfe,adds,reason,bar_num,range_flag,bar_range,date,signal,instrument,year
SHORT,13282.9,13295.0,-12.1,3.2,0,STOP,5,NORMAL,18.3,2020-01-02,DAX_S1,DAX,2020
LONG,13305.2,13337.2,32.0,40.7,1,STOP,5,NORMAL,18.3,2020-01-02,DAX_S1,DAX,2020
SHORT,13255.7,13188.0,67.7,86.8,2,STOP,5,NORMAL,16.7,2020-01-03,DAX_S1,DAX,2020
SHORT,13255.7,13202.9,52.8,67.2,1,STOP,5,NORMAL,16.7,2020-01-03,DAX_S1,DAX,2020
SHORT,13050.8,12977.0,73.8,91.8,2,STOP,5,NORMAL,26.3,2020-01-06,DAX_S1,DAX,2020
SHORT,13050.8,12972.7,78.1,88.1,1,STOP,5,NORMAL,26.3,2020-01-06,DAX_S1,DAX,2020
LONG,13245.2,13238.2,-7.0,21.3,0,STOP,5,NARROW,14.8,2020-01-07,DAX_S1,DAX,2020
LONG,13245.2,13249.2,4.0,22.2,0,STOP,5,NARROW,14.8,2020-01-07,DAX_S1,DAX,2020
SHORT,13129.9,13138.9,-9.0,14.0,0,STOP,5,NORMAL,38.3,2020-01-08,DAX_S1,DAX,2020
SHORT,13129.9,13128.2,1.7,18.5,0,STOP,5,NORMAL,38.3,2020-01-08,DAX_S1,DAX,2020
LONG,13494.5,13514.6,20.1,29.2,0,STOP,5,NORMAL,20.7,2020-01-09,DAX_S1,DAX,2020
LONG,13494.5,13498.2,3.7,19.2,0,STOP,5,NORMAL,20.7,2020-01-09,DAX_S1,DAX,2020
SHORT,13504.4,13499.4,5.0,15.7,0,STOP,5,NARROW,14.3,2020-01-10,DAX_S1,DAX,2020
SHORT,13504.4,13506.7,-2.3,11.2,0,STOP,5,NARROW,14.3,2020-01-10,DAX_S1,DAX,2020
LONG,13513.2,13510.7,-2.5,17.1,0,STOP,4,NARROW,11.3,2020-01-13,DAX_S1,DAX,2020
LONG,13513.2,13510.5,-2.7,6.5,0,STOP,4,NARROW,11.3,2020-01-13,DAX_S1,DAX,2020
