date,signal,instrument,pnl_pts,entry_num,direction,year
2020-01-02,DAX_S1,DAX,-12.1,1,SHORT,2020
2020-01-02,DAX_S1,DAX,36.0,2,LONG,2020
2020-01-02,DAX_S1,DAX,65.9,3,LONG,2020
2020-01-03,DAX_S1,DAX,113.9,1,SHORT,2020
2020-01-03,DAX_S1,DAX,46.8,2,SHORT,2020
2020-01-03,DAX_S1,DAX,59.3,3,SHORT,2020
2020-01-06,DAX_S1,DAX,79.9,1,SHORT,2020
2020-01-06,DAX_S1,DAX,70.1,2,SHORT,2020
2020-01-06,DAX_S1,DAX,77.6,3,SHORT,2020
2020-01-07,DAX_S1,DAX,-7.0,1,LONG,2020
2020-01-07,DAX_S1,DAX,4.0,2,LONG,2020
2020-01-07,DAX_S1,DAX,-9.3,3,LONG,2020
2020-01-08,DAX_S1,DAX,-9.0,1,SHORT,2020
2020-01-08,DAX_S1,DAX,1.7,2,SHORT,2020
2020-01-08,DAX_S1,DAX,-8.0,3,SHORT,2020
2020-01-09,DAX_S1,DAX,20.1,1,LONG,2020
2020-01-09,DAX_S1,DAX,3.7,2,LONG,2020
2020-01-09,DAX_S1,DAX,2.7,3,LONG,2020
2020-01-10,DAX_S1,DAX,5.0,1,SHORT,2020
2020-01-10,DAX_S1,DAX,-2.3,2,SHORT,2020
2020-01-10,DAX_S1,DAX,6.6,3,LONG,2020
2020-01-13,DAX_S1,DAX,-2.5,1,LONG,2020
2020-01-13,DAX_S1,DAX,-2.7,2,LONG,2020
2020-01-13,DAX_S1,DAX,5.4,3,SHORT,2020
2020-01-14,DAX_S1,DAX,-15.8,1,SHORT,2020
2020-01-14,DAX_S1,DAX,104.9,2,LONG,2020
2020-01-14,DAX_S1,DAX,67.2,3,LONG,2020
2020-01-15,DAX_S1,DAX,18.4,1,LONG,2020
2020-01-15,DAX_S1,DAX,10.7,2,LONG,2020
2020-01-15,DAX_S1,DAX,15.2,3,LONG,2020
2020-01-16,DAX_S1,DAX,11.0,1,LONG,2020
2020-01-16,DAX_S1,DAX,7.0,2,LONG,2020
2020-01-16,DAX_S1,DAX,8.4,3,LONG,2020
2020-01-17,DAX_S1,DAX,-15.5,1,SHORT,2020
2020-01-17,DAX_S1,DAX,-7.8,2,LONG,2020
2020-01-17,DAX_S1,DAX,0.0,3,SHORT,2020
2020-01-20,DAX_S1,DAX,-7.6,1,SHORT,2020
2020-01-20,DAX_S1,DAX,-4.0,2,SHORT,2020
2020-01-20,DAX_S1,DAX,-2.3,3,SHORT,2020
2020-01-21,DAX_S1,DAX,-17.0,1,SHORT,2020
2020-01-21,DAX_S1,DAX,-15.7,2,SHORT,2020
2020-01-21,DAX_S1,DAX,11.0,3,LONG,2020
2020-01-22,DAX_S1,DAX,12.5,1,SHORT,2020
2020-01-22,DAX_S1,DAX,32.5,2,SHORT,2020
2020-01-22,DAX_S1,DAX,39.6,3,SHORT,2020
2020-01-23,DAX_S1,DAX,-10.6,1,LONG,2020
2020-01-23,DAX_S1,DAX,6.7,2,SHORT,2020
2020-01-23,DAX_S1,DAX,21.0,3,SHORT,2020
2020-01-24,DAX_S1,DAX,24.4,1,LONG,2020
2020-01-24,DAX_S1,DAX,31.7,2,LONG,2020
2020-01-24,DAX_S1,DAX,35.7,3,LONG,2020
2020-01-27,DAX_S1,DAX,8.7,1,SHORT,2020
2020-01-27,DAX_S1,DAX,61.6,2,SHORT,2020
2020-01-27,DAX_S1,DAX,104.0,3,SHORT,2020
2020-01-28,DAX_S1,DAX,14.0,1,SHORT,2020
2020-01-28,DAX_S1,DAX,52.8,2,SHORT,2020
2020-01-28,DAX_S1,DAX,54.2,3,SHORT,2020
2020-01-29,DAX_S1,DAX,-24.7,1,LONG,2020
2020-01-29,DAX_S1,DAX,-5.2,2,SHORT,2020
2020-01-29,DAX_S1,DAX,-6.6,3,SHORT,2020
2020-01-30,DAX_S1,DAX,-13.2,1,LONG,2020
2020-01-30,DAX_S1,DAX,29.2,2,LONG,2020
2020-01-30,DAX_S1,DAX,25.7,3,LONG,2020
2020-01-31,DAX_S1,DAX,-11.0,1,SHORT,2020
2020-01-31,DAX_S1,DAX,-5.5,2,SHORT,2020
2020-01-31,DAX_S1,DAX,10.1,3,SHORT,2020
2020-02-03,DAX_S1,DAX,-13.8,1,SHORT,2020
2020-02-03,DAX_S1,DAX,-5.5,2,LONG,2020
2020-02-03,DAX_S1,DAX,-7.6,3,LONG,2020
2020-02-04,DAX_S1,DAX,-9.5,1,LONG,2020
2020-02-04,DAX_S1,DAX,-1.0,2,LONG,2020
2020-02-04,DAX_S1,DAX,-7.0,3,LONG,2020
2020-02-05,DAX_S1,DAX,-16.0,1,SHORT,2020
2020-02-05,DAX_S1,DAX,238.9,2,LONG,2020
