pass,instrument,trades,start_eq,end_eq,total_return_pct,cagr_pct,win_rate,avg_win_pct,avg_loss_pct,expectancy_gbp,profit_factor,max_dd_pct,sharpe,calmar
train_base,DAX,14,10000.0,10344.48,3.44,0.98,42.86,0.066,-0.04,24.61,1.639,2.62,0.4,0.37
train_base,US30,3,10000.0,10095.03,0.95,0.27,33.33,0.207,-0.049,31.68,1.478,1.99,0.16,0.14
train_base,COMBINED,17,20000.0,20439.51,2.2,0.62,41.18,0.086,-0.041,25.85,1.596,1.82,0.41,0.34
train_slippage,DAX,14,10000.0,9756.42,-2.44,-0.71,35.71,0.052,-0.052,-17.4,0.699,5.94,-0.29,-0.12
train_slippage,US30,3,10000.0,10052.11,0.52,0.15,33.33,0.199,-0.056,17.37,1.226,2.31,0.09,0.06
train_slippage,COMBINED,17,20000.0,19808.54,-0.96,-0.28,35.29,0.076,-0.053,-11.26,0.816,3.93,-0.18,-0.07
test_base,DAX,8,10000.0,10066.34,0.66,0.44,37.5,0.05,-0.083,8.29,1.13,2.45,0.14,0.18
test_base,US30,2,10000.0,9930.94,-0.69,-0.46,50.0,0.019,-0.351,-34.53,0.312,1.0,-0.53,-0.46
test_base,COMBINED,10,20000.0,19997.28,-0.01,-0.01,40.0,0.043,-0.127,-0.27,0.996,1.25,0.0,-0.01
test_slippage,DAX,8,10000.0,9722.79,-2.77,-1.85,25.0,0.055,-0.083,-34.65,0.607,4.62,-0.52,-0.4
test_slippage,US30,2,10000.0,9906.99,-0.93,-0.62,50.0,0.006,-0.358,-46.5,0.089,1.02,-0.73,-0.61
test_slippage,COMBINED,10,20000.0,19629.78,-1.85,-1.23,30.0,0.039,-0.122,-37.02,0.542,2.52,-0.68,-0.49
