instrument,entry_time,exit_time,entry_price,exit_price,exit_reason,pnl_pts,pnl_pct,pnl_gbp,atr_at_entry,volatility_regime,all_7_factors_at_entry,binding_constraint,volume_marginal
DAX,2021-06-21 13:40:00+02:00,2021-06-21 15:10:00+02:00,17341.7,17344.4,TIME,2.7000000000007276,0.0001556940784352588,40.325669272004724,6.695487139441347,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""macd_cross"", ""volume"", ""bb_break""]",False
DAX,2021-10-14 15:50:00+02:00,2021-10-14 15:55:00+02:00,17230.3,17221.178169567218,SL,-9.12183043278128,-0.0005294063616292973,-128.59916998789865,7.121830432779529,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""adx""]",False
DAX,2021-12-29 15:45:00+01:00,2021-12-29 15:55:00+01:00,17639.3,17630.217771137886,SL,-9.08222886211297,-0.0005148860137371081,-127.10768070024835,7.082228862114088,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""adx"", ""volume"", ""bb_break""]",True
DAX,2022-03-18 12:35:00+01:00,2022-03-18 13:00:00+01:00,16040.1,16017.441209866774,TRAILING,-22.65879013322592,-0.0014126339694407093,-76.65827861111205,28.921550074014682,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""macd_cross""]",False
DAX,2022-08-16 13:35:00+02:00,2022-08-16 14:30:00+02:00,15526.9,15529.902805112695,TRAILING,3.002805112695569,0.00019339373040951953,29.988809472524213,9.72066382628003,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""volume""]",True
DAX,2023-01-20 15:55:00+01:00,2023-01-20 16:00:00+01:00,16685.3,16680.2,SESSION_END,-5.099999999998545,-0.0003056582740495253,-50.69604793392819,9.796333975950722,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""macd_cross"", ""bb_break""]",False
DAX,2023-01-31 15:50:00+01:00,2023-01-31 16:00:00+01:00,16759.1,16773.8,SESSION_END,14.700000000000728,0.0008771354070326407,183.91302990170453,7.7429328203843575,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""adx"", ""bb_break""]",False
DAX,2023-02-07 12:45:00+01:00,2023-02-07 13:00:00+01:00,16971.5,16959.86087766009,TRAILING,-11.63912233991141,-0.0006858039854998916,-89.76256975979304,12.799512411062222,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""bb_break""]",True
DAX,2023-05-09 13:55:00+02:00,2023-05-09 14:50:00+02:00,17458.1,17450.206251399915,SL,-7.8937486000832,-0.0004521539342816916,-131.0065078943481,5.893748600082334,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""macd_cross"", ""volume""]",True
DAX,2023-05-17 15:55:00+02:00,2023-05-17 16:00:00+02:00,17505.0,17504.2,SESSION_END,-0.7999999999992724,-4.570122822046686e-05,-9.664712672343146,7.988150361772074,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""volume"", ""bb_break""]",False
DAX,2023-12-08 14:40:00+01:00,2023-12-08 15:10:00+01:00,18083.7,18075.99460429643,SL,-7.705395703571412,-0.0004260961917954518,-130.2024661582275,5.705395703572501,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""macd_cross"", ""adx"", ""volume""]",True
DAX,2024-01-08 15:50:00+01:00,2024-01-08 16:00:00+01:00,18092.3,18087.2,SESSION_END,-5.099999999998545,-0.00028188787495224735,-66.11360219892242,7.336418190644471,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""macd_cross"", ""volume"", ""bb_break""]",True
DAX,2024-02-01 14:45:00+01:00,2024-02-01 16:00:00+01:00,18200.3,18213.4,SESSION_END,13.100000000002183,0.0007197683554667881,120.14316117445328,10.297869190667143,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""macd_cross"", ""volume"", ""bb_break""]",True
DAX,2024-02-27 15:40:00+01:00,2024-02-27 16:00:00+01:00,18835.5,18847.6,SESSION_END,12.099999999998545,0.0006424039712244721,191.86308971799025,6.031966426701989,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""adx"", ""volume""]",False
US30,2021-05-14 20:10:00+02:00,2021-05-14 20:20:00+02:00,38257.1,38231.81189549977,SL,-25.288104500228656,-0.0006610042188307178,-113.4600948230905,22.28810450022841,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""volume"", ""bb_break""]",True
US30,2021-12-27 19:55:00+01:00,2021-12-27 20:00:00+01:00,40580.1,40561.16782540993,SL,-18.932174590067007,-0.0004665383917256736,-117.48157699271651,15.93217459007023,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""volume""]",True
US30,2024-07-12 19:15:00+02:00,2024-07-12 19:40:00+02:00,42503.9,42588.66623287064,TP,84.76623287063558,0.0019943165890808977,283.05405601523825,29.255410956877544,low,"{""ema_stack"": true, ""trend"": true, ""macd_cross"": true, ""rsi"": true, ""adx"": true, ""volume"": true, ""bb_break"": true}","[""volume""]",False
